#Decompressing a basalt COHS closed system at 1473.15 degrees (K). 
#Approx total H2O (wt%) starting fO2: 2.000, final fO2: 1.929
#Approx total CO2 starting fO2: 0.100 (wt%) 1000.0 (ppm), final fO2: 926.0 (ppm) 
#Approx total C (ppm) starting fO2: 272.671253, final fO2: 273.998382
#Total H (ppm): 2239.353513 wt%: 0.223935
#fTH2 = 0.034812
#
#         	          	          	          	              	              	 Gas:         	            	                	 Gas by mol:  	              	              	              	              	              	              	              	              	              	 Gas by mass: 	              	              	              	              	              	              	              	              	              	 Melt (wt%): 	            	            	            	            	            	            	            	            	            	 Ratios: 
P	NNO	fo2	F	rho_bulk	rho_melt	Exsol_vol%	Gas_wt	mol_mass	mH2O	mH2	mO2	mCO2	mCO	mCH4	mSO2	mH2S	mS2	mN2	wH2O	wH2	wO2	wCO2	wCO	wCH4	wSO2	wH2S	wS2	wN2	H2O_melt	H2_melt	CO2_melt	CO_melt	CH4_melt	graph_melt	S2-_melt	S6+_melt	Stot_melt	N_melt	mCO2/CO	mCO2/H2O	mCO2/SO2	mH2S/SO2	fH2	fH2O	fCO2	fCO	fCH4	fSO2	fH2S	fS2	fN2	tot_H	tot_C	tot_O_gas	tot_O	tot_S	tot_N
1574.5764 	 -0.000 	 3.063e-08 	 0.132 	 2691.204 	 2691.204 	 5.61e-06 	 1e-06 	 0.0373 	 0.251491 	 0.00157711 	 1.45042e-11 	 0.724123 	 0.0139689 	 5.42624e-09 	 0.00662317 	 0.00211499 	 0.000101115 	 0.0 	 0.121478 	 8.52655e-05 	 1.2444e-11 	 0.854463 	 0.0104908 	 2.33402e-09 	 0.0113766 	 0.00193265 	 0.000173865 	 0.0 	 2.0 	 0.000138685 	 0.1 	 0.00030995 	 1.74716e-11 	 0.0 	 0.0237133 	 0.176287 	 0.2 	 0.0 	 51.8384 	 2.87932 	 109.332 	 0.319332 	 2.9991134 	 400.67 	 1715.66 	 31.7017 	 1.26263e-05 	 14.414858 	 5.7599996 	 0.20857551 	 0.0 	 2239.3535 	 273.99865 	 18490.899 	 49575.288 	 2000.0001 	 0.0 
1574.0 	 +0.000 	 3.063e-08 	 0.132 	 2562.854 	 2562.860 	 0.000264 	 4.94399e-05 	 0.037294 	 0.251582 	 0.00157768 	 1.45095e-11 	 0.724032 	 0.0139671 	 5.4255e-09 	 0.00662438 	 0.00211537 	 0.000101115 	 0.0 	 0.12153 	 8.53016e-05 	 1.24494e-11 	 0.854409 	 0.0104902 	 2.33385e-09 	 0.0113794 	 0.00193312 	 0.000173876 	 0.0 	 1.99999 	 0.000138684 	 0.099958 	 0.000309838 	 1.74628e-11 	 0.0 	 0.023709 	 0.176291 	 0.2 	 0.0 	 5.183836e+01 	 2.877917e+00 	 1.092981e+02 	 3.193306e-01 	 2.9990971 	 400.668 	 1.714819e+03 	 3.168607e+01 	 1.26199e-05 	 14.412215 	 5.7589094 	 0.20849884 	 0.0 	 2239.3535 	 273.99865 	 18490.899 	 49575.288 	 2000.0001 	 0 
1573.0 	 -0.000 	 3.063e-08 	 0.132 	 2562.828 	 2562.847 	 0.000932 	 0.00017423 	 0.037290 	 0.25175 	 0.00157913 	 1.45196e-11 	 0.723858 	 0.0139647 	 5.42641e-09 	 0.00662879 	 0.00211754 	 0.000101181 	 0.0 	 0.121625 	 8.53901e-05 	 1.24595e-11 	 0.854302 	 0.0104896 	 2.33451e-09 	 0.0113883 	 0.00193532 	 0.000174009 	 0.0 	 1.99998 	 0.000138702 	 0.0998498 	 0.000309563 	 1.7448e-11 	 0.0 	 0.0237087 	 0.17629 	 0.199999 	 0.0 	 5.183475e+01 	 2.875302e+00 	 1.091992e+02 	 3.194454e-01 	 2.9993908 	 400.663 	 1.712646e+03 	 3.164943e+01 	 1.26092e-05 	 14.407227 	 5.7587653 	 0.20844757 	 0.0 	 2239.3535 	 273.99865 	 18490.897 	 49575.288 	 2000.0001 	 0 
1572.0 	 -0.000 	 3.062e-08 	 0.132 	 2562.802 	 2562.833 	 0.001522 	 0.000284202 	 0.037285 	 0.251915 	 0.00158048 	 1.45282e-11 	 0.723689 	 0.0139627 	 5.4274e-09 	 0.00663229 	 0.00211939 	 0.000101238 	 0.0 	 0.121718 	 8.54727e-05 	 1.24683e-11 	 0.8542 	 0.0104892 	 2.33521e-09 	 0.0113956 	 0.00193724 	 0.000174126 	 0.0 	 1.99996 	 0.000138719 	 0.0997544 	 0.000309329 	 1.74359e-11 	 0.0 	 0.0237084 	 0.176289 	 0.199998 	 0.0 	 5.183034e+01 	 2.872752e+00 	 1.091160e+02 	 3.195563e-01 	 2.9996894 	 400.658 	 1.710730e+03 	 3.161757e+01 	 1.26004e-05 	 14.402249 	 5.7586341 	 0.20839658 	 0.0 	 2239.3535 	 273.99865 	 18490.895 	 49575.288 	 2000.0001 	 0 
1571.0 	 -0.000 	 3.061e-08 	 0.132 	 2562.777 	 2562.820 	 0.002113 	 0.000394169 	 0.037281 	 0.25208 	 0.00158183 	 1.45368e-11 	 0.72352 	 0.0139606 	 5.42839e-09 	 0.0066358 	 0.00212125 	 0.000101294 	 0.0 	 0.121812 	 8.55556e-05 	 1.24771e-11 	 0.854097 	 0.0104889 	 2.3359e-09 	 0.0114029 	 0.00193916 	 0.000174243 	 0.0 	 1.99995 	 0.000138737 	 0.0996591 	 0.000309095 	 1.74237e-11 	 0.0 	 0.0237082 	 0.176289 	 0.199997 	 0.0 	 5.182593e+01 	 2.870202e+00 	 1.090328e+02 	 3.196672e-01 	 2.999988 	 400.653 	 1.708816e+03 	 3.158571e+01 	 1.25916e-05 	 14.397273 	 5.7585028 	 0.2083456 	 0.0 	 2239.3535 	 273.99865 	 18490.893 	 49575.288 	 2000.0001 	 0 
1570.0 	 -0.000 	 3.061e-08 	 0.132 	 2562.752 	 2562.807 	 0.002704 	 0.000504131 	 0.037277 	 0.252245 	 0.00158319 	 1.45454e-11 	 0.72335 	 0.0139585 	 5.42937e-09 	 0.00663931 	 0.00212311 	 0.000101351 	 0.0 	 0.121905 	 8.56385e-05 	 1.24859e-11 	 0.853995 	 0.0104885 	 2.33659e-09 	 0.0114103 	 0.00194108 	 0.000174361 	 0.0 	 1.99994 	 0.000138755 	 0.0995637 	 0.00030886 	 1.74115e-11 	 0.0 	 0.0237079 	 0.176288 	 0.199996 	 0.0 	 5.182153e+01 	 2.867652e+00 	 1.089495e+02 	 3.197782e-01 	 3.0002866 	 400.648 	 1.706903e+03 	 3.155386e+01 	 1.25828e-05 	 14.392298 	 5.7583715 	 0.20829463 	 0.0 	 2239.3535 	 273.99865 	 18490.891 	 49575.288 	 2000.0001 	 0 
1569.0 	 -0.000 	 3.060e-08 	 0.132 	 2562.726 	 2562.793 	 0.003296 	 0.000614087 	 0.037273 	 0.25241 	 0.00158454 	 1.45541e-11 	 0.72318 	 0.0139564 	 5.43035e-09 	 0.00664283 	 0.00212497 	 0.000101407 	 0.0 	 0.121999 	 8.57216e-05 	 1.24948e-11 	 0.853892 	 0.0104881 	 2.33728e-09 	 0.0114176 	 0.001943 	 0.000174478 	 0.0 	 1.99992 	 0.000138772 	 0.0994685 	 0.000308626 	 1.73994e-11 	 0.0 	 0.0237077 	 0.176288 	 0.199995 	 0.0 	 5.181712e+01 	 2.865102e+00 	 1.088662e+02 	 3.198892e-01 	 3.0005852 	 400.643 	 1.704990e+03 	 3.152203e+01 	 1.2574e-05 	 14.387324 	 5.7582402 	 0.20824368 	 0.0 	 2239.3535 	 273.99865 	 18490.889 	 49575.288 	 2000.0001 	 0 
1568.0 	 -0.000 	 3.059e-08 	 0.132 	 2562.701 	 2562.780 	 0.003889 	 0.000724039 	 0.037268 	 0.252575 	 0.0015859 	 1.45627e-11 	 0.72301 	 0.0139543 	 5.43133e-09 	 0.00664635 	 0.00212683 	 0.000101464 	 0.0 	 0.122093 	 8.58048e-05 	 1.25036e-11 	 0.853789 	 0.0104878 	 2.33797e-09 	 0.011425 	 0.00194493 	 0.000174596 	 0.0 	 1.99991 	 0.00013879 	 0.0993732 	 0.000308392 	 1.73872e-11 	 0.0 	 0.0237074 	 0.176287 	 0.199994 	 0.0 	 5.181271e+01 	 2.862553e+00 	 1.087830e+02 	 3.200002e-01 	 3.0008838 	 400.639 	 1.703078e+03 	 3.149020e+01 	 1.25653e-05 	 14.382353 	 5.7581088 	 0.20819274 	 0.0 	 2239.3535 	 273.99865 	 18490.886 	 49575.288 	 2000.0001 	 0 
1567.0 	 -0.000 	 3.059e-08 	 0.132 	 2562.675 	 2562.767 	 0.004483 	 0.000833985 	 0.037264 	 0.252741 	 0.00158726 	 1.45714e-11 	 0.72284 	 0.0139522 	 5.43231e-09 	 0.00664988 	 0.0021287 	 0.000101521 	 0.0 	 0.122187 	 8.58881e-05 	 1.25125e-11 	 0.853686 	 0.0104874 	 2.33866e-09 	 0.0114324 	 0.00194686 	 0.000174714 	 0.0 	 1.9999 	 0.000138808 	 0.099278 	 0.000308157 	 1.7375e-11 	 0.0 	 0.0237072 	 0.176286 	 0.199994 	 0.0 	 5.180830e+01 	 2.860004e+00 	 1.086997e+02 	 3.201113e-01 	 3.0011824 	 400.634 	 1.701167e+03 	 3.145838e+01 	 1.25565e-05 	 14.377382 	 5.7579774 	 0.20814181 	 0.0 	 2239.3535 	 273.99865 	 18490.884 	 49575.288 	 2000.0001 	 0 
1566.0 	 -0.001 	 3.058e-08 	 0.132 	 2562.650 	 2562.754 	 0.005078 	 0.000943927 	 0.037260 	 0.252907 	 0.00158861 	 1.458e-11 	 0.722669 	 0.0139501 	 5.43329e-09 	 0.00665341 	 0.00213057 	 0.000101578 	 0.0 	 0.122281 	 8.59715e-05 	 1.25214e-11 	 0.853582 	 0.010487 	 2.33935e-09 	 0.0114397 	 0.0019488 	 0.000174832 	 0.0 	 1.99988 	 0.000138825 	 0.0991828 	 0.000307923 	 1.73629e-11 	 0.0 	 0.0237069 	 0.176286 	 0.199993 	 0.0 	 5.180390e+01 	 2.857455e+00 	 1.086163e+02 	 3.202224e-01 	 3.001481 	 400.629 	 1.699257e+03 	 3.142657e+01 	 1.25477e-05 	 14.372414 	 5.7578459 	 0.2080909 	 0.0 	 2239.3535 	 273.99865 	 18490.882 	 49575.288 	 2000.0001 	 0 
