#Decompressing a basalt COHS closed system at 1473.15 degrees (K). 
#Approx total H2O (wt%) starting fO2: 2.000, final fO2: 1.926
#Approx total CO2 starting fO2: 0.300 (wt%) 2999.0 (ppm), final fO2: 2769.0 (ppm) 
#Approx total C (ppm) starting fO2: 818.008360, final fO2: 821.178394
#Total H (ppm): 2239.252923 wt%: 0.223925
#fTH2 = 0.034701
#
#         	          	          	          	              	              	 Gas:         	            	                	 Gas by mol:  	              	              	              	              	              	              	              	              	              	 Gas by mass: 	              	              	              	              	              	              	              	              	              	 Melt (wt%): 	            	            	            	            	            	            	            	            	            	 Ratios: 
P	NNO	fo2	F	rho_bulk	rho_melt	Exsol_vol%	Gas_wt	mol_mass	mH2O	mH2	mO2	mCO2	mCO	mCH4	mSO2	mH2S	mS2	mN2	wH2O	wH2	wO2	wCO2	wCO	wCH4	wSO2	wH2S	wS2	wN2	H2O_melt	H2_melt	CO2_melt	CO_melt	CH4_melt	graph_melt	S2-_melt	S6+_melt	Stot_melt	N_melt	mCO2/CO	mCO2/H2O	mCO2/SO2	mH2S/SO2	fH2	fH2O	fCO2	fCO	fCH4	fSO2	fH2S	fS2	fN2	tot_H	tot_C	tot_O_gas	tot_O	tot_S	tot_N
3209.9648 	 -0.000 	 3.446e-08 	 0.126 	 2717.620 	 2717.620 	 2.54e-06 	 1e-06 	 0.0408 	 0.114607 	 0.000602442 	 5.97608e-12 	 0.863721 	 0.0163699 	 5.13087e-09 	 0.00367051 	 0.000945329 	 8.34868e-05 	 0.0 	 0.0505936 	 2.9767e-05 	 4.6859e-12 	 0.931458 	 0.0112358 	 2.017e-09 	 0.00576212 	 0.000789472 	 0.000131197 	 0.0 	 2.0 	 0.000128632 	 0.3 	 0.000740238 	 4.99894e-11 	 0.0 	 0.033274 	 0.166726 	 0.2 	 0.0 	 52.7629 	 7.53637 	 235.314 	 0.257547 	 2.827873 	 400.67 	 6210.44 	 108.203 	 3.61271e-05 	 24.127998 	 8.0822893 	 0.46190556 	 0.0 	 2239.2529 	 821.1791 	 19947.534 	 50669.484 	 2000.0 	 0.0 
3209.0 	 +0.000 	 3.446e-08 	 0.126 	 2585.093 	 2585.096 	 0.000224 	 9.28293e-05 	 0.040808 	 0.114641 	 0.000602618 	 5.97791e-12 	 0.863688 	 0.0163692 	 5.13056e-09 	 0.00367057 	 0.000945332 	 8.34636e-05 	 0.0 	 0.0506097 	 2.97764e-05 	 4.68744e-12 	 0.931442 	 0.0112355 	 2.01692e-09 	 0.00576235 	 0.000789492 	 0.000131163 	 0.0 	 2.0 	 0.00012863 	 0.299913 	 0.000740105 	 4.99713e-11 	 0.0 	 0.0332642 	 0.166735 	 0.2 	 0.0 	 5.276303e+01 	 7.533842e+00 	 2.353004e+02 	 2.575435e-01 	 2.8278518 	 400.669 	 6.208328e+03 	 1.081659e+02 	 3.6114e-05 	 24.121186 	 8.0798926 	 0.46163856 	 0.0 	 2239.2529 	 821.1791 	 19947.531 	 50669.484 	 2000.0 	 0 
3208.0 	 -0.000 	 3.445e-08 	 0.126 	 2585.074 	 2585.085 	 0.000773 	 0.000319731 	 0.040807 	 0.114689 	 0.000602998 	 5.98063e-12 	 0.863638 	 0.0163691 	 5.13226e-09 	 0.00367223 	 0.000946079 	 8.34952e-05 	 0.0 	 0.0506322 	 2.9796e-05 	 4.68971e-12 	 0.931416 	 0.0112358 	 2.01765e-09 	 0.00576512 	 0.00079014 	 0.000131217 	 0.0 	 1.99998 	 0.000128645 	 0.299698 	 0.000739721 	 4.99488e-11 	 0.0 	 0.0332633 	 0.166736 	 0.199999 	 0.0 	 5.276025e+01 	 7.530282e+00 	 2.351806e+02 	 2.576307e-01 	 2.8281116 	 400.665 	 6.203124e+03 	 1.080862e+02 	 3.60978e-05 	 24.113084 	 8.0795724 	 0.46151716 	 0.0 	 2239.2529 	 821.1791 	 19947.523 	 50669.484 	 2000.0 	 0 
3207.0 	 -0.000 	 3.444e-08 	 0.126 	 2585.056 	 2585.073 	 0.001167 	 0.000482135 	 0.040806 	 0.11473 	 0.000603315 	 5.98231e-12 	 0.863594 	 0.0163696 	 5.13407e-09 	 0.00367303 	 0.000946595 	 8.35141e-05 	 0.0 	 0.0506519 	 2.98125e-05 	 4.69115e-12 	 0.931393 	 0.0112364 	 2.01842e-09 	 0.00576653 	 0.000790592 	 0.00013125 	 0.0 	 1.99998 	 0.000128661 	 0.299545 	 0.000739491 	 4.99389e-11 	 0.0 	 0.0332625 	 0.166736 	 0.199998 	 0.0 	 5.275609e+01 	 7.527178e+00 	 2.351174e+02 	 2.577148e-01 	 2.8283852 	 400.662 	 6.199397e+03 	 1.080326e+02 	 3.60906e-05 	 24.104996 	 8.0793267 	 0.46139983 	 0.0 	 2239.2529 	 821.1791 	 19947.516 	 50669.484 	 2000.0 	 0 
3206.0 	 -0.000 	 3.444e-08 	 0.126 	 2585.038 	 2585.060 	 0.001560 	 0.000644498 	 0.040805 	 0.114772 	 0.000603631 	 5.98399e-12 	 0.86355 	 0.01637 	 5.13588e-09 	 0.00367383 	 0.000947111 	 8.35329e-05 	 0.0 	 0.0506716 	 2.98289e-05 	 4.69259e-12 	 0.931371 	 0.0112371 	 2.01918e-09 	 0.00576795 	 0.000791044 	 0.000131283 	 0.0 	 1.99997 	 0.000128677 	 0.299391 	 0.000739262 	 4.99289e-11 	 0.0 	 0.0332617 	 0.166736 	 0.199998 	 0.0 	 5.275192e+01 	 7.524073e+00 	 2.350542e+02 	 2.577990e-01 	 2.8286588 	 400.659 	 6.195672e+03 	 1.079789e+02 	 3.60834e-05 	 24.096911 	 8.0790811 	 0.46128253 	 0.0 	 2239.2529 	 821.1791 	 19947.509 	 50669.484 	 2000.0 	 0 
3205.0 	 -0.000 	 3.443e-08 	 0.126 	 2585.019 	 2585.048 	 0.001953 	 0.000806823 	 0.040804 	 0.114813 	 0.000603947 	 5.98566e-12 	 0.863507 	 0.0163705 	 5.13769e-09 	 0.00367464 	 0.000947627 	 8.35517e-05 	 0.0 	 0.0506913 	 2.98453e-05 	 4.69404e-12 	 0.931349 	 0.0112377 	 2.01995e-09 	 0.00576936 	 0.000791496 	 0.000131316 	 0.0 	 1.99996 	 0.000128693 	 0.299237 	 0.000739033 	 4.9919e-11 	 0.0 	 0.033261 	 0.166736 	 0.199997 	 0.0 	 5.274775e+01 	 7.520970e+00 	 2.349909e+02 	 2.578832e-01 	 2.8289324 	 400.656 	 6.191948e+03 	 1.079252e+02 	 3.60762e-05 	 24.088828 	 8.0788354 	 0.46116526 	 0.0 	 2239.2529 	 821.1791 	 19947.503 	 50669.484 	 2000.0 	 0 
3204.0 	 -0.000 	 3.442e-08 	 0.126 	 2585.001 	 2585.036 	 0.002347 	 0.000969107 	 0.040803 	 0.114855 	 0.000604264 	 5.98734e-12 	 0.863463 	 0.016371 	 5.1395e-09 	 0.00367544 	 0.000948144 	 8.35706e-05 	 0.0 	 0.050711 	 2.98618e-05 	 4.69548e-12 	 0.931327 	 0.0112383 	 2.02071e-09 	 0.00577077 	 0.000791949 	 0.000131349 	 0.0 	 1.99995 	 0.000128709 	 0.299084 	 0.000738804 	 4.9909e-11 	 0.0 	 0.0332602 	 0.166736 	 0.199996 	 0.0 	 5.274359e+01 	 7.517866e+00 	 2.349277e+02 	 2.579675e-01 	 2.829206 	 400.653 	 6.188226e+03 	 1.078716e+02 	 3.6069e-05 	 24.080748 	 8.0785898 	 0.46104802 	 0.0 	 2239.2529 	 821.1791 	 19947.496 	 50669.484 	 2000.0 	 0 
3203.0 	 -0.000 	 3.441e-08 	 0.126 	 2584.983 	 2585.023 	 0.002741 	 0.00113135 	 0.040802 	 0.114896 	 0.000604581 	 5.98902e-12 	 0.863419 	 0.0163714 	 5.14131e-09 	 0.00367624 	 0.000948661 	 8.35895e-05 	 0.0 	 0.0507307 	 2.98782e-05 	 4.69692e-12 	 0.931305 	 0.0112389 	 2.02148e-09 	 0.00577219 	 0.000792402 	 0.000131382 	 0.0 	 1.99994 	 0.000128725 	 0.29893 	 0.000738574 	 4.9899e-11 	 0.0 	 0.0332594 	 0.166736 	 0.199996 	 0.0 	 5.273942e+01 	 7.514763e+00 	 2.348645e+02 	 2.580518e-01 	 2.8294797 	 400.65 	 6.184505e+03 	 1.078180e+02 	 3.60618e-05 	 24.07267 	 8.0783442 	 0.46093081 	 0.0 	 2239.2529 	 821.1791 	 19947.489 	 50669.484 	 2000.0 	 0 
3202.0 	 -0.000 	 3.441e-08 	 0.126 	 2584.965 	 2585.011 	 0.003135 	 0.00129356 	 0.040800 	 0.114938 	 0.000604898 	 5.99071e-12 	 0.863375 	 0.0163719 	 5.14312e-09 	 0.00367705 	 0.000949179 	 8.36084e-05 	 0.0 	 0.0507505 	 2.98947e-05 	 4.69837e-12 	 0.931282 	 0.0112395 	 2.02225e-09 	 0.00577361 	 0.000792856 	 0.000131415 	 0.0 	 1.99993 	 0.000128741 	 0.298776 	 0.000738345 	 4.98891e-11 	 0.0 	 0.0332587 	 0.166736 	 0.199995 	 0.0 	 5.273526e+01 	 7.511661e+00 	 2.348012e+02 	 2.581361e-01 	 2.8297534 	 400.647 	 6.180786e+03 	 1.077644e+02 	 3.60546e-05 	 24.064595 	 8.0780985 	 0.46081363 	 0.0 	 2239.2529 	 821.1791 	 19947.483 	 50669.484 	 2000.0 	 0 
3201.0 	 -0.000 	 3.440e-08 	 0.126 	 2584.946 	 2584.998 	 0.003529 	 0.00145572 	 0.040799 	 0.11498 	 0.000605216 	 5.99239e-12 	 0.863332 	 0.0163723 	 5.14493e-09 	 0.00367785 	 0.000949697 	 8.36273e-05 	 0.0 	 0.0507702 	 2.99112e-05 	 4.69981e-12 	 0.93126 	 0.0112402 	 2.02301e-09 	 0.00577503 	 0.000793309 	 0.000131449 	 0.0 	 1.99992 	 0.000128757 	 0.298623 	 0.000738116 	 4.98791e-11 	 0.0 	 0.0332579 	 0.166737 	 0.199995 	 0.0 	 5.273109e+01 	 7.508559e+00 	 2.347379e+02 	 2.582204e-01 	 2.8300271 	 400.644 	 6.177068e+03 	 1.077107e+02 	 3.60474e-05 	 24.056523 	 8.0778529 	 0.46069649 	 0.0 	 2239.2529 	 821.1791 	 19947.476 	 50669.484 	 2000.0 	 0 
