#Decompressing a basalt COHS closed system at 1473.15 degrees (K). 
#Approx total H2O (wt%) starting fO2: 2.000, final fO2: 1.961
#Approx total CO2 starting fO2: 0.300 (wt%) 3000.0 (ppm), final fO2: 2866.0 (ppm) 
#Approx total C (ppm) starting fO2: 818.008085, final fO2: 821.180879
#Total H (ppm): 2239.253188 wt%: 0.223925
#fTH2 = 0.018932
#
#         	          	          	          	              	              	 Gas:         	            	                	 Gas by mol:  	              	              	              	              	              	              	              	              	              	 Gas by mass: 	              	              	              	              	              	              	              	              	              	 Melt (wt%): 	            	            	            	            	            	            	            	            	            	 Ratios: 
P	NNO	fo2	F	rho_bulk	rho_melt	Exsol_vol%	Gas_wt	mol_mass	mH2O	mH2	mO2	mCO2	mCO	mCH4	mSO2	mH2S	mS2	mN2	wH2O	wH2	wO2	wCO2	wCO	wCH4	wSO2	wH2S	wS2	wN2	H2O_melt	H2_melt	CO2_melt	CO_melt	CH4_melt	graph_melt	S2-_melt	S6+_melt	Stot_melt	N_melt	mCO2/CO	mCO2/H2O	mCO2/SO2	mH2S/SO2	fH2	fH2O	fCO2	fCO	fCH4	fSO2	fH2S	fS2	fN2	tot_H	tot_C	tot_O_gas	tot_O	tot_S	tot_N
3205.4788 	 -0.000 	 3.445e-08 	 0.126 	 2717.455 	 2717.455 	 2.55e-06 	 1e-06 	 0.0408 	 0.114797 	 0.000603695 	 5.98726e-12 	 0.865856 	 0.0164111 	 5.14689e-09 	 0.00183729 	 0.000473464 	 2.08728e-05 	 0.0 	 0.050726 	 2.98574e-05 	 4.69916e-12 	 0.934654 	 0.0112749 	 2.02524e-09 	 0.00288702 	 0.000395782 	 3.28322e-05 	 0.0 	 2.0 	 0.000128658 	 0.3 	 0.000740759 	 5.00216e-11 	 0.0 	 0.0166222 	 0.0833778 	 0.1 	 0.0 	 52.7603 	 7.54249 	 471.267 	 0.257697 	 2.828329 	 400.67 	 6210.44 	 108.22 	 3.61504e-05 	 12.047444 	 4.037552 	 0.11523398 	 0.0 	 2239.2532 	 821.18134 	 19947.537 	 50705.365 	 1000.0 	 0.0 
3205.0 	 +0.000 	 3.445e-08 	 0.126 	 2585.027 	 2585.029 	 0.000113 	 4.64735e-05 	 0.040770 	 0.114814 	 0.000603782 	 5.98818e-12 	 0.86584 	 0.0164108 	 5.14673e-09 	 0.00183731 	 0.000473465 	 2.08698e-05 	 0.0 	 0.050734 	 2.98621e-05 	 4.69993e-12 	 0.934646 	 0.0112747 	 2.02519e-09 	 0.00288708 	 0.000395787 	 3.28279e-05 	 0.0 	 2.0 	 0.000128657 	 0.299957 	 0.000740692 	 5.00125e-11 	 0.0 	 0.0166198 	 0.0833802 	 0.0999999 	 0.0 	 5.276043e+01 	 7.541237e+00 	 4.712538e+02 	 2.576943e-01 	 2.8283168 	 400.67 	 6.209389e+03 	 1.082019e+02 	 3.61438e-05 	 12.045758 	 4.0369509 	 0.11520068 	 0.0 	 2239.2532 	 821.18134 	 19947.535 	 50705.365 	 1000.0 	 0 
3204.0 	 -0.000 	 3.444e-08 	 0.126 	 2585.008 	 2585.017 	 0.000582 	 0.000240095 	 0.040768 	 0.114859 	 0.000604129 	 5.99041e-12 	 0.865794 	 0.0164109 	 5.14844e-09 	 0.00183793 	 0.000473777 	 2.0876e-05 	 0.0 	 0.0507551 	 2.98801e-05 	 4.70182e-12 	 0.934623 	 0.0112752 	 2.02592e-09 	 0.00288813 	 0.000396059 	 3.28385e-05 	 0.0 	 1.99999 	 0.000128673 	 0.299773 	 0.000740384 	 4.99958e-11 	 0.0 	 0.0166192 	 0.0833804 	 0.0999996 	 0.0 	 5.275710e+01 	 7.537909e+00 	 4.710708e+02 	 2.577780e-01 	 2.828576 	 400.666 	 6.204931e+03 	 1.081351e+02 	 3.61317e-05 	 12.041728 	 4.0367816 	 0.1151699 	 0.0 	 2239.2532 	 821.18134 	 19947.525 	 50705.365 	 1000.0 	 0 
3203.0 	 -0.000 	 3.443e-08 	 0.126 	 2584.990 	 2585.004 	 0.000974 	 0.000401875 	 0.040767 	 0.1149 	 0.000604445 	 5.99212e-12 	 0.865751 	 0.0164114 	 5.15021e-09 	 0.00183833 	 0.000474033 	 2.08805e-05 	 0.0 	 0.0507749 	 2.98965e-05 	 4.70329e-12 	 0.934601 	 0.0112758 	 2.02668e-09 	 0.00288884 	 0.000396284 	 3.28465e-05 	 0.0 	 1.99998 	 0.000128688 	 0.299619 	 0.000740154 	 4.99855e-11 	 0.0 	 0.0166187 	 0.0833805 	 0.0999993 	 0.0 	 5.275305e+01 	 7.534804e+00 	 4.709440e+02 	 2.578605e-01 	 2.8288434 	 400.663 	 6.201206e+03 	 1.080812e+02 	 3.61242e-05 	 12.0377 	 4.0366354 	 0.11513979 	 0.0 	 2239.2532 	 821.18134 	 19947.516 	 50705.365 	 1000.0 	 0 
3202.0 	 -0.000 	 3.443e-08 	 0.126 	 2584.972 	 2584.992 	 0.001367 	 0.000563614 	 0.040766 	 0.114942 	 0.000604761 	 5.99383e-12 	 0.865708 	 0.0164118 	 5.15198e-09 	 0.00183873 	 0.000474289 	 2.08851e-05 	 0.0 	 0.0507947 	 2.99129e-05 	 4.70475e-12 	 0.93458 	 0.0112764 	 2.02743e-09 	 0.00288955 	 0.000396508 	 3.28546e-05 	 0.0 	 1.99997 	 0.000128704 	 0.299466 	 0.000739923 	 4.99751e-11 	 0.0 	 0.0166182 	 0.0833807 	 0.099999 	 0.0 	 5.274901e+01 	 7.531700e+00 	 4.708171e+02 	 2.579430e-01 	 2.8291107 	 400.66 	 6.197482e+03 	 1.080273e+02 	 3.61167e-05 	 12.033674 	 4.0364891 	 0.11510969 	 0.0 	 2239.2532 	 821.18134 	 19947.508 	 50705.365 	 1000.0 	 0 
3201.0 	 -0.000 	 3.442e-08 	 0.126 	 2584.954 	 2584.980 	 0.001760 	 0.000725314 	 0.040765 	 0.114984 	 0.000605077 	 5.99554e-12 	 0.865665 	 0.0164123 	 5.15376e-09 	 0.00183914 	 0.000474545 	 2.08897e-05 	 0.0 	 0.0508144 	 2.99294e-05 	 4.70622e-12 	 0.934559 	 0.011277 	 2.02818e-09 	 0.00289027 	 0.000396733 	 3.28627e-05 	 0.0 	 1.99996 	 0.000128719 	 0.299312 	 0.000739692 	 4.99647e-11 	 0.0 	 0.0166178 	 0.0833809 	 0.0999987 	 0.0 	 5.274496e+01 	 7.528596e+00 	 4.706902e+02 	 2.580255e-01 	 2.8293781 	 400.657 	 6.193760e+03 	 1.079734e+02 	 3.61092e-05 	 12.029648 	 4.0363429 	 0.11507959 	 0.0 	 2239.2532 	 821.18134 	 19947.499 	 50705.365 	 1000.0 	 0 
3200.0 	 -0.000 	 3.441e-08 	 0.126 	 2584.935 	 2584.967 	 0.002153 	 0.000886973 	 0.040764 	 0.115025 	 0.000605393 	 5.99725e-12 	 0.865621 	 0.0164127 	 5.15553e-09 	 0.00183954 	 0.000474801 	 2.08942e-05 	 0.0 	 0.0508342 	 2.99458e-05 	 4.70769e-12 	 0.934537 	 0.0112776 	 2.02893e-09 	 0.00289098 	 0.000396958 	 3.28708e-05 	 0.0 	 1.99995 	 0.000128735 	 0.299158 	 0.000739462 	 4.99543e-11 	 0.0 	 0.0166173 	 0.0833811 	 0.0999984 	 0.0 	 5.274091e+01 	 7.525493e+00 	 4.705633e+02 	 2.581081e-01 	 2.8296455 	 400.654 	 6.190039e+03 	 1.079196e+02 	 3.61017e-05 	 12.025624 	 4.0361966 	 0.11504951 	 0.0 	 2239.2532 	 821.18134 	 19947.49 	 50705.365 	 1000.0 	 0 
3199.0 	 -0.000 	 3.440e-08 	 0.126 	 2584.917 	 2584.955 	 0.002546 	 0.00104859 	 0.040763 	 0.115067 	 0.000605709 	 5.99896e-12 	 0.865578 	 0.0164132 	 5.1573e-09 	 0.00183995 	 0.000475057 	 2.08988e-05 	 0.0 	 0.050854 	 2.99623e-05 	 4.70917e-12 	 0.934516 	 0.0112782 	 2.02969e-09 	 0.00289169 	 0.000397183 	 3.28789e-05 	 0.0 	 1.99995 	 0.00012875 	 0.299005 	 0.000739231 	 4.99439e-11 	 0.0 	 0.0166168 	 0.0833812 	 0.0999981 	 0.0 	 5.273687e+01 	 7.522390e+00 	 4.704364e+02 	 2.581906e-01 	 2.829913 	 400.651 	 6.186320e+03 	 1.078657e+02 	 3.60942e-05 	 12.021601 	 4.0360504 	 0.11501943 	 0.0 	 2239.2532 	 821.18134 	 19947.482 	 50705.365 	 1000.0 	 0 
3198.0 	 -0.000 	 3.440e-08 	 0.126 	 2584.899 	 2584.942 	 0.002939 	 0.00121017 	 0.040762 	 0.115109 	 0.000606026 	 6.00068e-12 	 0.865535 	 0.0164136 	 5.15908e-09 	 0.00184035 	 0.000475314 	 2.09034e-05 	 0.0 	 0.0508739 	 2.99788e-05 	 4.71064e-12 	 0.934495 	 0.0112788 	 2.03044e-09 	 0.00289241 	 0.000397408 	 3.2887e-05 	 0.0 	 1.99994 	 0.000128766 	 0.298851 	 0.000739 	 4.99335e-11 	 0.0 	 0.0166163 	 0.0833814 	 0.0999978 	 0.0 	 5.273282e+01 	 7.519287e+00 	 4.703095e+02 	 2.582733e-01 	 2.8301804 	 400.648 	 6.182602e+03 	 1.078119e+02 	 3.60867e-05 	 12.017579 	 4.0359041 	 0.11498936 	 0.0 	 2239.2532 	 821.18134 	 19947.473 	 50705.365 	 1000.0 	 0 
3197.0 	 -0.000 	 3.439e-08 	 0.126 	 2584.881 	 2584.930 	 0.003333 	 0.00137171 	 0.040761 	 0.11515 	 0.000606343 	 6.00239e-12 	 0.865492 	 0.016414 	 5.16085e-09 	 0.00184076 	 0.000475571 	 2.0908e-05 	 0.0 	 0.0508937 	 2.99952e-05 	 4.71211e-12 	 0.934473 	 0.0112794 	 2.03119e-09 	 0.00289312 	 0.000397634 	 3.28951e-05 	 0.0 	 1.99993 	 0.000128782 	 0.298698 	 0.00073877 	 4.99231e-11 	 0.0 	 0.0166159 	 0.0833816 	 0.0999975 	 0.0 	 5.272877e+01 	 7.516185e+00 	 4.701825e+02 	 2.583559e-01 	 2.8304479 	 400.645 	 6.178885e+03 	 1.077580e+02 	 3.60792e-05 	 12.013559 	 4.0357579 	 0.11495929 	 0.0 	 2239.2532 	 821.18134 	 19947.464 	 50705.365 	 1000.0 	 0 
3196.0 	 -0.000 	 3.438e-08 	 0.126 	 2584.862 	 2584.917 	 0.003726 	 0.00153321 	 0.040760 	 0.115192 	 0.00060666 	 6.00411e-12 	 0.865449 	 0.0164145 	 5.16263e-09 	 0.00184116 	 0.000475827 	 2.09126e-05 	 0.0 	 0.0509135 	 3.00117e-05 	 4.71359e-12 	 0.934452 	 0.01128 	 2.03195e-09 	 0.00289384 	 0.000397859 	 3.29032e-05 	 0.0 	 1.99992 	 0.000128797 	 0.298545 	 0.000738539 	 4.99127e-11 	 0.0 	 0.0166154 	 0.0833818 	 0.0999972 	 0.0 	 5.272473e+01 	 7.513084e+00 	 4.700555e+02 	 2.584386e-01 	 2.8307154 	 400.642 	 6.175170e+03 	 1.077042e+02 	 3.60716e-05 	 12.00954 	 4.0356117 	 0.11492924 	 0.0 	 2239.2532 	 821.18134 	 19947.456 	 50705.365 	 1000.0 	 0 
