#Decompressing a basalt COHS closed system at 1473.15 degrees (K). 
#Approx total H2O (wt%) starting fO2: 2.000, final fO2: 1.992
#Approx total CO2 starting fO2: 0.300 (wt%) 3000.0 (ppm), final fO2: 2972.0 (ppm) 
#Approx total C (ppm) starting fO2: 818.007784, final fO2: 818.431710
#Total H (ppm): 2238.034527 wt%: 0.223803
#fTH2 = 0.003637
#
#         	          	          	          	              	              	 Gas:         	            	                	 Gas by mol:  	              	              	              	              	              	              	              	              	              	 Gas by mass: 	              	              	              	              	              	              	              	              	              	 Melt (wt%): 	            	            	            	            	            	            	            	            	            	 Ratios: 
P	NNO	fo2	F	rho_bulk	rho_melt	Exsol_vol%	Gas_wt	mol_mass	mH2O	mH2	mO2	mCO2	mCO	mCH4	mSO2	mH2S	mS2	mN2	wH2O	wH2	wO2	wCO2	wCO	wCH4	wSO2	wH2S	wS2	wN2	H2O_melt	H2_melt	CO2_melt	CO_melt	CH4_melt	graph_melt	S2-_melt	S6+_melt	Stot_melt	N_melt	mCO2/CO	mCO2/H2O	mCO2/SO2	mH2S/SO2	fH2	fH2O	fCO2	fCO	fCH4	fSO2	fH2S	fS2	fN2	tot_H	tot_C	tot_O_gas	tot_O	tot_S	tot_N
3178.0602 	 +2.000 	 3.438e-06 	 0.310 	 2717.033 	 2717.033 	 2.55e-06 	 1e-06 	 0.041 	 0.11597 	 6.11438e-05 	 6.05632e-10 	 0.879061 	 0.00166663 	 5.24617e-13 	 0.00324034 	 8.37993e-07 	 6.40652e-09 	 0.0 	 0.0509186 	 3.00483e-06 	 4.72317e-10 	 0.942881 	 0.00113775 	 2.05119e-13 	 0.00505934 	 6.96053e-07 	 1.00132e-08 	 0.0 	 2.0 	 6.7606e-06 	 0.3 	 9.89791e-05 	 5.02193e-15 	 0.0 	 2.89583e-05 	 0.199971 	 0.2 	 0.0 	 527.447 	 7.5801 	 271.287 	 0.000258613 	 0.28311183 	 400.67 	 6210.44 	 10.8327 	 3.62932e-09 	 20.926407 	 0.0070339961 	 3.4905384e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.871 	 58213.729 	 2000.0 	 0.0 
3178.0 	 +2.000 	 3.438e-06 	 0.310 	 2584.579 	 2584.579 	 0.000017 	 6.80691e-06 	 0.041031 	 0.115972 	 6.11449e-05 	 6.05643e-10 	 0.879059 	 0.00166663 	 5.24616e-13 	 0.00324033 	 8.37991e-07 	 6.40637e-09 	 0.0 	 0.0509196 	 3.00489e-06 	 4.72326e-10 	 0.94288 	 0.00113775 	 2.05119e-13 	 0.00505934 	 6.96052e-07 	 1.0013e-08 	 0.0 	 2.0 	 6.7606e-06 	 0.299995 	 9.8978e-05 	 5.02182e-15 	 0.0 	 2.89576e-05 	 0.199971 	 0.2 	 0.0 	 5.274474e+02 	 7.579936e+00 	 2.712870e+02 	 2.586129e-04 	 0.28311178 	 400.67 	 6.210303e+03 	 1.083248e+01 	 3.62924e-09 	 20.925964 	 0.0070338469 	 3.4903916e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.871 	 58213.729 	 2000.0 	 0 
3177.0 	 +2.000 	 3.437e-06 	 0.310 	 2584.561 	 2584.567 	 0.000423 	 0.000174253 	 0.041030 	 0.116015 	 6.11782e-05 	 6.05809e-10 	 0.879016 	 0.00166669 	 5.24822e-13 	 0.00324109 	 8.38487e-07 	 6.40813e-09 	 0.0 	 0.0509397 	 3.0066e-06 	 4.72469e-10 	 0.942858 	 0.00113782 	 2.05205e-13 	 0.00506065 	 6.96482e-07 	 1.0016e-08 	 0.0 	 1.99999 	 6.76152e-06 	 0.299836 	 9.89467e-05 	 5.02093e-15 	 0.0 	 2.89578e-05 	 0.199971 	 0.2 	 0.0 	 5.274014e+02 	 7.576774e+00 	 2.712102e+02 	 2.587054e-04 	 0.28314193 	 400.667 	 6.206470e+03 	 1.082703e+01 	 3.6286e-09 	 20.918906 	 0.0070338269 	 3.4896284e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.875 	 58213.729 	 2000.0 	 0 
3176.0 	 +2.000 	 3.436e-06 	 0.310 	 2584.542 	 2584.554 	 0.000820 	 0.000337626 	 0.041028 	 0.116057 	 6.1211e-05 	 6.05969e-10 	 0.878973 	 0.00166676 	 5.25028e-13 	 0.0032418 	 8.38969e-07 	 6.40982e-09 	 0.0 	 0.0509597 	 3.0083e-06 	 4.72606e-10 	 0.942837 	 0.00113789 	 2.05291e-13 	 0.0050619 	 6.96902e-07 	 1.00189e-08 	 0.0 	 1.99998 	 6.76244e-06 	 0.299682 	 9.89168e-05 	 5.02012e-15 	 0.0 	 2.89579e-05 	 0.19997 	 0.199999 	 0.0 	 5.273546e+02 	 7.573640e+00 	 2.711373e+02 	 2.587975e-04 	 0.28317211 	 400.664 	 6.202731e+03 	 1.082174e+01 	 3.62801e-09 	 20.911852 	 0.0070338072 	 3.4888649e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.878 	 58213.729 	 2000.0 	 0 
3175.0 	 +2.000 	 3.435e-06 	 0.310 	 2584.524 	 2584.542 	 0.001217 	 0.000500959 	 0.041027 	 0.116099 	 6.12439e-05 	 6.06129e-10 	 0.878929 	 0.00166682 	 5.25234e-13 	 0.00324251 	 8.39453e-07 	 6.41151e-09 	 0.0 	 0.0509796 	 3.01e-06 	 4.72743e-10 	 0.942816 	 0.00113797 	 2.05377e-13 	 0.00506314 	 6.97322e-07 	 1.00219e-08 	 0.0 	 1.99997 	 6.76336e-06 	 0.299528 	 9.88868e-05 	 5.01931e-15 	 0.0 	 2.8958e-05 	 0.19997 	 0.199999 	 0.0 	 5.273078e+02 	 7.570507e+00 	 2.710645e+02 	 2.588897e-04 	 0.2832023 	 400.661 	 6.198993e+03 	 1.081645e+01 	 3.62743e-09 	 20.904801 	 0.0070337875 	 3.4881016e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.881 	 58213.729 	 2000.0 	 0 
3174.0 	 +2.000 	 3.435e-06 	 0.310 	 2584.506 	 2584.530 	 0.001615 	 0.000664251 	 0.041026 	 0.116142 	 6.12768e-05 	 6.06289e-10 	 0.878886 	 0.00166689 	 5.25441e-13 	 0.00324322 	 8.39936e-07 	 6.41321e-09 	 0.0 	 0.0509995 	 3.01169e-06 	 4.72881e-10 	 0.942794 	 0.00113805 	 2.05463e-13 	 0.00506439 	 6.97742e-07 	 1.00248e-08 	 0.0 	 1.99997 	 6.76429e-06 	 0.299374 	 9.88568e-05 	 5.0185e-15 	 0.0 	 2.89582e-05 	 0.199969 	 0.199998 	 0.0 	 5.272610e+02 	 7.567374e+00 	 2.709917e+02 	 2.589819e-04 	 0.28323249 	 400.659 	 6.195257e+03 	 1.081116e+01 	 3.62684e-09 	 20.897751 	 0.0070337678 	 3.4873384e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.884 	 58213.729 	 2000.0 	 0 
3173.0 	 +2.000 	 3.434e-06 	 0.310 	 2584.487 	 2584.517 	 0.002012 	 0.000827504 	 0.041025 	 0.116184 	 6.13097e-05 	 6.06449e-10 	 0.878843 	 0.00166696 	 5.25647e-13 	 0.00324394 	 8.4042e-07 	 6.4149e-09 	 0.0 	 0.0510195 	 3.01339e-06 	 4.73018e-10 	 0.942773 	 0.00113812 	 2.05549e-13 	 0.00506564 	 6.98162e-07 	 1.00277e-08 	 0.0 	 1.99996 	 6.76521e-06 	 0.29922 	 9.88269e-05 	 5.01768e-15 	 0.0 	 2.89583e-05 	 0.199969 	 0.199998 	 0.0 	 5.272142e+02 	 7.564241e+00 	 2.709188e+02 	 2.590742e-04 	 0.28326269 	 400.656 	 6.191522e+03 	 1.080588e+01 	 3.62625e-09 	 20.890704 	 0.0070337481 	 3.4865754e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.887 	 58213.729 	 2000.0 	 0 
3172.0 	 +2.000 	 3.433e-06 	 0.310 	 2584.469 	 2584.505 	 0.002410 	 0.000990717 	 0.041024 	 0.116226 	 6.13427e-05 	 6.0661e-10 	 0.8788 	 0.00166702 	 5.25854e-13 	 0.00324465 	 8.40904e-07 	 6.4166e-09 	 0.0 	 0.0510395 	 3.01509e-06 	 4.73156e-10 	 0.942752 	 0.0011382 	 2.05635e-13 	 0.00506689 	 6.98583e-07 	 1.00306e-08 	 0.0 	 1.99995 	 6.76613e-06 	 0.299065 	 9.87969e-05 	 5.01687e-15 	 0.0 	 2.89584e-05 	 0.199969 	 0.199997 	 0.0 	 5.271674e+02 	 7.561109e+00 	 2.708459e+02 	 2.591665e-04 	 0.28329289 	 400.653 	 6.187788e+03 	 1.080059e+01 	 3.62567e-09 	 20.883659 	 0.0070337283 	 3.4858126e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.89 	 58213.729 	 2000.0 	 0 
3171.0 	 +2.000 	 3.432e-06 	 0.310 	 2584.451 	 2584.492 	 0.002808 	 0.00115389 	 0.041023 	 0.116269 	 6.13757e-05 	 6.0677e-10 	 0.878757 	 0.00166709 	 5.2606e-13 	 0.00324536 	 8.41389e-07 	 6.4183e-09 	 0.0 	 0.0510595 	 3.01679e-06 	 4.73293e-10 	 0.94273 	 0.00113827 	 2.05722e-13 	 0.00506814 	 6.99004e-07 	 1.00335e-08 	 0.0 	 1.99994 	 6.76706e-06 	 0.298911 	 9.87669e-05 	 5.01606e-15 	 0.0 	 2.89586e-05 	 0.199968 	 0.199997 	 0.0 	 5.271206e+02 	 7.557978e+00 	 2.707730e+02 	 2.592588e-04 	 0.28332309 	 400.65 	 6.184056e+03 	 1.079531e+01 	 3.62508e-09 	 20.876617 	 0.0070337086 	 3.4850499e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.893 	 58213.729 	 2000.0 	 0 
3170.0 	 +1.999 	 3.432e-06 	 0.310 	 2584.432 	 2584.480 	 0.003206 	 0.00131702 	 0.041022 	 0.116311 	 6.14087e-05 	 6.06931e-10 	 0.878713 	 0.00166715 	 5.26267e-13 	 0.00324608 	 8.41874e-07 	 6.41999e-09 	 0.0 	 0.0510795 	 3.0185e-06 	 4.73431e-10 	 0.942709 	 0.00113835 	 2.05808e-13 	 0.00506939 	 6.99426e-07 	 1.00364e-08 	 0.0 	 1.99993 	 6.76798e-06 	 0.298757 	 9.87369e-05 	 5.01524e-15 	 0.0 	 2.89587e-05 	 0.199968 	 0.199997 	 0.0 	 5.270738e+02 	 7.554847e+00 	 2.707001e+02 	 2.593511e-04 	 0.28335329 	 400.647 	 6.180325e+03 	 1.079002e+01 	 3.62449e-09 	 20.869577 	 0.0070336888 	 3.4842874e-05 	 0.0 	 2238.0345 	 818.43182 	 19943.896 	 58213.729 	 2000.0 	 0 
